,Frequency,Entity
0,3,Cure Cancer
1,1,Medical_Courses🚑💉
2,3,Science Updates
3,2,Nicolas Gendron
4,1,jason gill
5,2,Gilles Gallant
6,1,David Kisamfu
7,1,Anas Nasir
8,1,DNA Methylation
9,3,George Ioannidis
10,1,Market Ready Rx
11,2,Pharmaceuticals repo
12,1,WaYs2rOcK
13,1,a follower
14,1,Final
15,1,Gill Budgell
16,1,cripto-wolf
17,1,FNest
18,1,Mind & Body Journal
19,1,илуша
20,1,Janina Reed
21,22,Mayo Clinic Cancer Center
22,2,Stanford Medicine Magazine
23,1,Joaquin KM
24,7,StockGuru
25,1,Debbie La Torre 📊
26,1,Vive mas
27,1,Muge Cevik
28,1,Juan Garcia
29,1,kot neadekvat
30,1,Ohio State News
31,1,DocCheck
32,1,🥶
33,84,"Holly Bertone, CNHP, PMP"
34,3,Patricia
35,1,Mohammed Almohammadi
36,16,satPRnews
37,1,ReachMD
38,2,Mithu Storoni MD PhD
39,1,Jérémie Zerbit
40,1,Sravani Ganji
41,1,Dr. Cary Presant
42,1,cancerpapers
43,6,Onko Community
44,1,Para
45,1,Mark (Jahdoh)
46,1,Anthony Roux
47,1,Casper Paardekooper
48,1,Aamir Riaz
49,3,Theriaque_officiel
50,1,ирина галушка
51,1,Sarah 🦄👑🖤💎
52,3,Bill Both
53,1,Michael Drazer
54,1,Healing Touristry
55,12,Tran-Der Tan
56,1,Olivia Douglass
57,1,Roman Jerala
58,6,James Kerwin
59,1,PRpro.be
60,1,BOSS Bodyworks
61,1,Madeline Schuck
62,1,Cleveland Clinic Abu Dhabi
63,5,Redacción Médica
64,1,Asia Pacific News
65,1,Pocho
66,2,MS Papers
67,1,Life Length
68,1,"Sid Yadav MD, FACP"
69,1,Seema Vaidyanathan
70,1,Accuray
71,1,"University of Maryland, Baltimore"
72,1,Vidyashree S G
73,1,Mahesh Khuman
74,1,Ant Pope
75,1,Miguel Romera
76,2,Mmの憂鬱
77,6,Pharma Jonpi .
78,1,Sultan Ibrahim Aljarba
79,1,Med-Chemist- Researcher & Academician by Choice🤔
80,2,flylemurs
81,1,PPNUMBA1
82,1,Olga Crehan
83,1,Sociedad Química de Panamá
84,1,Referral Kings
85,1,Retrogenix
86,3,TweetedScience
87,1,Team In Training-SC
88,19,Janssen EMEA
89,1,FundSwift
90,26,Los Lobos
91,1,WebPathology
92,1,Lifeboat Foundation
93,2,RTTNews Top Stories
94,5,Stem Cell News
95,2,Chris  Douglas
96,1,Willy van der Most
97,9,ABNewswire
98,1,NIHR BTRU in Stem Cells @UCL💙
99,1,Hard Lock
100,1,Андрей Кучер
101,5,WVCI
102,1,Kiki Romero
103,1,Albert Sloan
104,1,genuinedrugs123
105,1,Prof. Ali Hajeer
106,1,FAES
107,1,Matthew G Cyr
108,4,Federal Practitioner
109,1,Kaitlyn Boulbol
110,1,F.M.A.Book Reviews
111,11,Paul Lane
112,1,MyelomaLymphoma
113,1,NovelHealthStrategie
114,4,Advances in Therapy
115,1,مرد مجازي
116,2,Gasoline Alley
117,1,Kevin Ellis
118,1,Антон Дяченко
119,1,solomin
120,1,Biotech Stock
121,6,"Everything, nothing"
122,1,Luminasllc
123,10,Dr Effie Kostareli
124,1,Marcius Lab
125,1,HubRoot
126,1,H.C. Wainwright & Co.
127,6,Roberto C.  Montoya
128,1,AndreySmoke
129,1,Next Generation
130,1,厚朴方舟
131,2,RANJAN BUDA.
132,4,epocrates
133,1,cycleoptic💙💚
134,2,CCTG
135,1,Jayden 
136,1,Jesionekk
137,1,Tyler Steele
138,1,Towelie
139,1,La maliiila
140,1,AlejandroLópezCature
141,1,Sporočila za javnost O-STA
142,1,FabriceAndre
143,1,Biotech Day
144,2,Simeon Ayanlade
145,1,Aleksandar Starcevic
146,1,BusinessWire-Italian
147,2,Julie Lakeview
148,1,University of Southampton
149,2,Wiley Oncology & Hematology
150,1,OSU Psych Advising
151,4,Klaus Okkenhaug
152,1,Sean Tiernan
153,1,Adam Marshall Dobrin 🔯☀⁂ @suzq@rettiwtkcuf.social
154,1,LatestNews Nigeria
155,1,"Richard Kiss MD, PhD"
156,2,bob lee
157,1,π
158,3,BioRunUp
159,2,dermatologyf
160,1,grheuhe
161,8,HEDGE accordingly📈
162,4,Mehrdad Yousefi
163,2,CCAR
164,1,Marcelo F Rosales
165,8,JAMA
166,1,Jeff Honeysett
167,1,Erica Valentin
168,2,The Organic Institute CLG
169,1,Nkita Berkut
170,1,Psychedelic Jukebox
171,1,labguru
172,1,maria cilia matos
173,1,Don Seiffert
174,1,Chelsea✨
175,1,Nick Wong
176,1,Ashleigh Walls
177,1,LifeStyle Profesional (by El Neuropediatra)
178,1,BMTx3
179,5,DennisPartners
180,6,Casey Foster
181,5,Oncology Consortium
182,1,ScottO
183,1,DNA nanotech papers
184,4,SY Investing
185,1,Naveed Saleh
186,1,Андрей Мартыненко
187,1,atoxquiteran
188,1,Charles R. Uller
189,1,E-Radio.US
190,1,Sophie Macura 💙
191,1,VĭZEN /ˈvĭ-zhən/
192,2,паалды вроаыпва
193,14,John Drago
194,1,Роджер
195,2,Prophetess Deborah Allen
196,1,Dr. Jean Fan
197,1,Mats Ohlin
198,2,Andrea Levy
199,1,Ayobami Seun
200,1,Karina Teran
201,1,Lyfebulb
202,1,amber
203,1,💥 Paleo by Leo 💥 International Food Blogger
204,1,GWAS_lit
205,1,Jean-Pierre Lavergne
206,1,UAMS Cancer
207,2,Cancer Research
208,2,Coffee Bullet
209,1,wambui E
210,1,Дмитрий Ленц
211,3,PharmaSources.com
212,1,Sergey Minaev
213,1,jdskxjsj
214,1,S O P A
215,1,Nataly Rojas Peinado
216,1,Ducit
217,5,CRE Demographics
218,1,Stocks News&Markets
219,1,Columbia Medicine
220,3,The Peak Oil Poet
221,1,thesecondopinion
222,4,Solomon Kamal
223,6,Calibr8 Your Life
224,1,Delmarva News Watch
225,2,Swallow This - The War On Cancer! 😷
226,1,Carlos De la Torre
227,1,Chad Allen MRI
228,1,Finwire News
229,2,𝕊𝕥𝕠𝕔𝕜𝐖𝐚𝐭𝐜𝐡𝐞𝐫
230,1,Juan Garcia Valero
231,1,Matt Boulton
232,1,Pakalert Press
233,1,SWLAWPrivateClient
234,1,LAKEM.
235,1,regeter
236,1,Francis Jenkins RE
237,1,Snaggle Tooth
238,1,Donna Reed
239,3,Oxford Centre for Haematology
240,1,CISMeF Quoi de neuf
241,1,660 NEWS Calgary
242,26,LiveYourLife
243,1,visionary blogs
244,1,"Heather E. Williams, PhD"
245,3,Hal Palmer
246,21,Dr. Andre Goy
247,1,Biotech Jim
248,2,Nick Barker
249,1,International Natural Product Sciences Taskforce
250,15,Graham Collins
251,2,VHSPL
252,1,MedWatcher
253,1,Christine
254,1,Sharon Johnson
255,1,Александр Пеньков
256,1,Patient Resource
257,1,Jorie graham
258,1,awarness tv
259,1,"Oscar Segurado, MD PhD"
260,9,Fabrice Leclerc
261,11,BioPharma Dive
262,1,Infectious Disease and Treatment
263,1,El Grillo de Yucatán
264,1,Deborah Fitzerman
265,2,"Krishna Talluri, MD"
266,2,Pengyu Yang
267,1,Amar Bhandari
268,1,MedicinaTV
269,1,"One Health, India"
270,6,Pharma Business Int
271,1,Mukesh P Yadav
272,1,Tania Jayesuria
273,1,Mr. Mañas
274,3,"Lymphoma, Leukemia & Myeloma Congress"
275,1,Kristi Rosa
276,1,ISO.health
277,1,Wise Guy Reports
278,1,Lucas Pueyo
279,16,Colleen Busch
280,1,Cochrane Haematology
281,3,OHC
282,1,SurvivorNet
283,6,LabMedica.com
284,1,Mass Eye and Ear
285,1,aman zhaman
286,1,"Taylor Buss, MSW, LISW-S"
287,1,InConcertForCancer
288,1,httpp://
289,17,undead viking zombie
290,1,Rocketnews
291,1,Michel Doepke
292,1,CLEVER Network
293,3,Erin Early
294,2,Rachel Smith
295,1,Ольга Спиридонова
296,3,Biblioteca CHT
297,1,Dr Richard Birkinshaw
298,1,pekon
299,1,"Health & Wellness Center, Nagaland"
300,1,JebSource
301,1,quantico2005
302,1,Joe von Wallerstein
303,2,Farmacia Nenna
304,1,GenoptixInc
305,1,Chronic Disease Coalition
306,3,Cecilia
307,2,The Royal Vox Post
308,1,Petra Kodeda
309,14,the limbic
310,1,D Baker
311,1,Алла Суртаева
312,1,Алексей Севастьянов
313,1,Keeping Life Sane
314,3,sganguly
315,1,Ceron Lab
316,1,Николай Гером
317,1,"Sonali J. Bracken, M.D., Ph.D."
318,1,Cascade Custom RX
319,1,Diario de Chiapas
320,18,Cultura Lucha Libre
321,26,Investor News
322,1,Michelle Blanch
323,9,NHLBI Bethesda Labs
324,3,New Jersey Headlines
325,1,Иван Козлов
326,1,Julie Makani
327,1,rob halkes
328,2,Genome Biology
329,1,Claudio Foscoli
330,2,CenterForBiosimilars
331,1,MedicinaMX
332,5,Dustin Phan
333,1,Rocky
334,4,Hematology
335,13,Stephen Brown
336,1,Allison Stratford
337,1,Patricio Sánchez 🐍
338,1,Анюта Тарасова
339,3,M. El Mehdi
340,1,дибил реально
341,1,Дмитрий
342,2,Jad Adaimi
343,2,WallStBetsDotCom
344,1,John Lauerman
345,1,Medicsfinder
346,1,David Olivia
347,15,Amin G T Amin
348,1,Public Health
349,4,icd10bot
350,2,Silver Valley Doctor
351,1,Johannes Reiter
352,1,MB Top Employers
353,1,Александр Иванов
354,1,Dr. Mihir
355,1,Siteman Cancer Center
356,11,CML AdvocatesNetwork
357,1,FlytoFindACure
358,1,Елена Попова
