,tweet_text,label,score
0,"âï¸ Scientists conducted a Phase II study of acalabrutinib in patients with relapsed/refractory #CLL who were ibrutinib-intolerant, and found an overall response rate of 73%. 
https://t.co/eJ6m4QpC5P https://t.co/kuZz6ZO47r",positive,0.8678323030471802
1,"This phase 2 Acalabrutinib-Venetoclax (AV) trial that is still in recruitment phase will study how well venetoclax and acalabrutinib works in MCL patients who either relapsed or non-respondent to the initial therapy.

https://t.co/gg0G9At23N",positive,0.6042456030845642
2,#NICE backs #AstraZenecas #Calquence for #CLL https://t.co/Vb5lPDoGrA,positive,0.9937306046485901
3,"#acalabrutinib is a valuable option in pts intolerant to #ibrutinib. Further valuable data to help decision making in #CLL 

Early View | Haematologica https://t.co/Z2kCLZaX0D",positive,0.9003549218177795
4,NICE has recommended the use of acalabrutinib for patients with treatment-naÃ¯ve chronic lymphocytic leukemia. Find out more here https://t.co/6OuJptLCIN #lymsm #lymphoma,positive,0.9020792245864868
5,NICE backs AstraZenecaâs Calquence for CLL https://t.co/JOPNLNID5R https://t.co/9pwY4NKP4s,positive,0.9716184139251709
6,"This is England for now - these decisions usually come to Wales too. 
More info

 https://t.co/SR5TU0ZSHH https://t.co/OFdwEdlav6",negative,0.8819939494132996
7,"AstraZenecaâs Calquence (acalabrutinib), a chemotherapy-free monotherapy, will be offered to patients with chronic lymphocytic #leukaemia.
#oncology #drugapprovals #pharma #healthnews
Find out more here: https://t.co/qYUft2Cn8b https://t.co/Sxve6NGGX3",negative,0.7750892639160156
8,Superstar @tobyeyre82 responding to the excellent news of NICE approval of acalabrutinib in frontline CLL for FCR / BR unsuitable patients. https://t.co/lACvpOtrWx,positive,0.9947769641876221
9,"CLL patients all know the drug Ibrutinib and yesterday in the UK Acalabrutinib was approved and now a new drug Pirtobrutinib is making a big impact for relapsed patients in recent #clinicaltrials
@cancertrials_ie @CllSociety @LAL_NI @BloodCancerIRL
https://t.co/murr3KPhsZ",negative,0.886406421661377
10,"Optimal Management of High-Risk CLL with Acalabrutinib
19 March 2021 | 7.00 pm - 8.30 pm

Speaker 1 - Dr P G Subramanian, Mumbai 
Speaker 2 - Group Captain (Dr) Harshit Khurana, Pune

Chair: Dr S H Advani, Mumbai
Moderator: Dr M B Agarwal, Mumbai

Link: https://t.co/ou2dEMfIcE https://t.co/nvAeDoMRll",positive,0.6003321409225464
11,"Acalabrutinib for all forms of CLL, NICE today.get ready  @SwbhPharmacy @StevenShanu @HojanSenya
@SWBH_RandD @Oncology_at_AZ https://t.co/pG1GaUtZ5j",positive,0.9946677088737488
12,It has been announced today (Thursday 18th March) that The National Institute for Health and Care Excellence (NICE) have made recommendations for acalabrutinib to become a treatment option for certain groups of chronic lymphocytic leukaemia (CLL) patients in England.,positive,0.9047688841819763
13,"NICE has recommended the use of acalabrutinib, as a monotherapy option for adults with:
â¢a 17pÂ deletion or TP53Â mutation, or
â¢no 17pÂ deletion or TP53Â mutation, and fludarabine plus cyclophosphamide and rituximab (FCR), or bendamustine plus rituximab (BR) is unsuitable. https://t.co/ntYG8VLKyZ",negative,0.7682188749313354
14,"A brand new oral treatment, Acalabrutinib, taken as a twice daily tablet, for untreated  blood cancer, chronic lymphocytic leukaemia, has today (Thursday 18 March 2021) been recommended for NHS use by NICE.
https://t.co/nLoyYbepRA",positive,0.8596808314323425
15,NICE backs AstraZenecaâs Calquence for CLL https://t.co/P6fy1o0mTi,positive,0.9342210292816162
16,NICE backs AstraZenecaâs Calquence for CLL https://t.co/V0wjoKqqTm,positive,0.9319882392883301
17,NICE backs AstraZenecaâs Calquence for CLL https://t.co/8RAQ6sLJIs,positive,0.9450370073318481
18,NICE backs AstraZenecaâs Calquence for CLL https://t.co/hKPfa0IW6N,positive,0.935929000377655
19,NICE backs AstraZenecaâs Calquence for CLL https://t.co/6b1RYaHRxX,positive,0.9417133927345276
20,NICE backs AstraZenecaâs Calquence for CLL https://t.co/FTEaEMFSW7 #pharma #lifesciences,positive,0.9606381058692932
21,New article: Phase 2 study of acalabrutinib in ibrutinib-intolerant patients with relapsed/refractory chronic lymphocytic leukemia https://t.co/osJpzYCezE #CLL #leusm #hematology,positive,0.882578432559967
22,"TARGETED ORAL MONOTHERAPY CALQUENCE (ACALABRUTINIB) RECOMMENDED BY NICE FOR PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKAEMIA (CLL)
https://t.co/tJ2w5zcKD3
#PharmaNews #ClinicalResearchNews #BiotechNews #LifeSciencesNews #MedicalNews #HealthcareNews #PharmiwebNews https://t.co/wYA5UUOJqo",positive,0.687052309513092
23,"As the UK approve new treatments for #CLL with Acalabrutinib now available. Ireland falls far behind.
Patients need better options. 
@JanRynne @DonnellyStephen @HSELive @davidcullinane @hseNCCP @paulreiddublin @IPPOSI @PaulMcauliffe @RoisinShortall https://t.co/tW2zAInOlp",negative,0.9785568714141846
24,".@NICEComms backs NHS use for @AstraZenecaâs Calquence for new leukaemia indication, and @DaiichiSankyoâs cholesterol-lowering drugs Nilemdo and Nustendi #heor https://t.co/PqFk7N9pCi",positive,0.9719391465187073
